time,FR_hip_pos,FR_hip_vel,FR_thigh_pos,FR_thigh_vel,FR_calf_pos,FR_calf_vel
27996400000,0.0495598874986,0.00145048392005,0.0107439709827,-0.261471658945,-1.77884447575,-0.000192672712728
27996600000,0.0495748072863,0.00135749473702,0.00798581447452,-0.262929797173,-1.77884471416,5.4611795349e-05
28042000000,0.0495879687369,0.00126330379862,0.00529885059223,-0.266181707382,-1.77884483337,-0.000198614477995
28042000000,0.0496001541615,0.00115936680231,0.0027590286918,-0.274266570807,-1.77884507179,0.000193281637621
28042000000,0.0496110804379,0.00105627323501,-9.77810941549e-06,-0.280922591686,-1.778845191,0.000156702386448
28042000000,0.0496213138103,0.000931856920943,-0.0028585519176,-0.288636624813,-1.77884531021,0.000118941396067
28083000000,0.0496300086379,0.000822931702714,-0.00573979318142,-0.29822692275,-1.77884542942,0.000196368331672
28083000000,0.0496379099786,0.000701408425812,-0.00848159193993,-0.308497905731,-1.77884542942,-0.000286281428998
28083000000,0.0496442206204,0.000567128008697,-0.0115685379133,-0.323938935995,-1.77884554863,-9.2467504146e-05
28083000000,0.0496495701373,0.000437985174358,-0.015046573244,-0.333060443401,-1.77884566784,0.000160637791851
28125800000,0.0496534220874,0.000311208248604,-0.0182543676347,-0.348097801208,-1.77884566784,-6.82132522343e-05
28125800000,0.0496560372412,0.00017878379731,-0.0218010749668,-0.361237555742,-1.77884566784,-0.00023041703389
28125800000,0.0496573522687,5.21295369253e-05,-0.0254197027534,-0.375985383987,-1.77884578705,0.000286622351268
28125800000,0.049657523632,-5.07503973495e-05,-0.0289511494339,-0.394171178341,-1.77884578705,0.000294189230772
28125800000,0.0496564283967,-0.000494175241329,-0.0327798090875,-0.410935252905,-1.77884566784,-0.000250361219514
28167400000,0.0496282465756,-0.00466870237142,-0.037268564105,-0.422171056271,-1.77884566784,-0.000239220185904
28167400000,0.0495458804071,-0.0109878694639,-0.0414235033095,-0.440013021231,-1.77884566784,-0.000240038876655
28167400000,0.049398522824,-0.0169293005019,-0.0457369722426,-0.458194702864,-1.77884566784,-0.000239527318627
28167400000,0.0492207966745,-0.0199826266617,-0.0499247349799,-0.479443132877,-1.77884566784,-0.000239359564148
28172400000,0.0489897578955,-0.0229806490242,-0.0547473467886,-0.49589240551,-1.77884566784,-0.000240017106989
28182400000,0.0487416125834,-0.0244028270245,-0.0596424490213,-0.51311737299,-1.77884566784,-0.00024055952963
28220800000,0.0484826676548,-0.0245404373854,-0.0649979263544,-0.525898933411,-1.77884566784,-0.000241059358814
28220800000,0.0482269488275,-0.0242034979165,-0.0700199902058,-0.546229124069,-1.77884566784,-0.000242875088588
28220800000,0.0479768812656,-0.0231578499079,-0.0754159092903,-0.562505185604,-1.77884566784,-0.000245713075856
28262000000,0.047730859369,-0.0219655167311,-0.0813133716583,-0.573911011219,-1.77884566784,-0.000247963209404
28262000000,0.0475126989186,-0.0198406651616,-0.0870270729065,-0.589043617249,-1.77884566784,-0.000252088182606
28262200000,0.0473169796169,-0.017347196117,-0.0925240442157,-0.608195662498,-1.77884566784,-0.000258748186752
28262200000,0.0471468269825,-0.0145928738639,-0.0983903631568,-0.623471200466,-1.77884566784,-0.000264273927314
28303400000,0.0470069982111,-0.0113475583494,-0.104510657489,-0.636628866196,-1.77884566784,-0.000270708842436
28303400000,0.0468972958624,-0.00768598495051,-0.110884569585,-0.647419810295,-1.77884566784,-0.000278580933809
28303400000,0.0468150340021,-0.00416217790917,-0.117115274072,-0.660191774368,-1.77884566784,-0.000289292132948
28303400000,0.0467615239322,-0.00169899407774,-0.123847879469,-0.667248249054,-1.77884566784,-0.000285864574835
28303400000,0.0467302873731,-0.000551952107344,-0.130141407251,-0.679550290108,-1.77884566784,-0.000274419522611
28345600000,0.0467081852257,-0.000209146164707,-0.136923521757,-0.686068952084,-1.77884566784,-0.00026240045554
28345600000,0.0466952547431,-0.000123825258925,-0.143781512976,-0.691204369068,-1.77884566784,-0.000259640626609
